InstitutionID,StreetTown,InstitutionName,BedCount,OperationYearMonth,Address,PhoneNumber,PostalCode,OperationMode,LegalRepresentative
200282,古美路街道（区级）,上海闵行区莲花老年公寓,187,200609,闵行区莲花路1115号,34226575,201102,公建民营(民非）,罗惠国
200283,浦江镇,上海闵行区浦江镇鲁汇敬老院,92,198709,闵行区浦江镇鲁汇教师新村37号,64911027,201112,公建公营,卫兰
200284,浦江镇,上海闵行区一家人敬老院,519,201305,闵行区召楼路2926号,34793100,201112,公建民营(民非）,钱家民
200285,浦江镇,上海闵行区夕阳东起敬老院,128,201011,闵行区苏召路1086号,64112226,201112,民建民营（民非）,孟爱芳
200286,浦江镇,上海闵行区晨星敬老院,56,201112,闵行区沿浦路15号（丰南河桥南）,64918691,201112,民建民营（民非）,张雨仙
200287,浦江镇,上海申堡养老院有限公司,335,201603,闵行区联航路1505弄4-5号楼,4008833551,201112,民建民营（工商）,Lilly Ho Donohue
200288,吴泾镇,上海闵行区吴泾镇敬老院,99,199203,闵行区剑川路100弄139号,64520174,200241,公建民营(民非）,朱洪其
200289,吴泾镇,上海闵行区亲情安养院,192,200508,闵行区剑川路50弄28号,64523563,200241,民建民营（民非）,张琳
200290,吴泾镇,上海闵行区夕阳红养老院,100,200902,闵行区剑川路50弄200号,64503885,200241,民建民营（民非）,蒋定君
200291,马桥镇,上海闵行区马桥镇敬老院,550,198405,闵行区元松路15号,64092616,201111,公建公营,赵伟忠
200292,马桥镇,上海闵行区紫江敬老院,81,201010,闵行区北松路818号,64093266,201111,民建民营（民非）,楼乐华
200293,颛桥镇,上海闵行区颛桥敬老院,158,200508,闵行区颛桥镇联农路39号,64422475,201108,公建公营,曹永其
200294,颛桥镇,上海闵行区银桥万福年华社区长者照护之家,45,201502,闵行区沪闵路3131弄36号,54415935,201109,公建民营(民非）,刘泽民
200295,颛桥镇,上海闵行区福禄寿敬老院,320,199504,闵行区瓶北路38号,64901045,201109,民建民营（民非）,吴凤美
200296,颛桥镇,上海大华福利院,290,199909,闵行区中春路2626号,64896890,201108,民建民营（民非）,吴桂明
200297,颛桥镇,上海闵行区爱德养老院,181,199107,闵行区沪闵路1774号C座南门,64907361,201108,民建民营（民非）,李峥
200298,梅陇镇,上海市闵行区梅陇颐乐养老院,498,201505,闵行区双柏路1333弄58号,52217891,201108,公建民营(民非）,蔡坚
200299,梅陇镇,上海闵行区虹梅敬老院,200,199908,闵行区景联路1109号,64973228,201103,公建民营(民非）,张世伟
200300,梅陇镇,上海闵行区陇南敬老院,189,201502,闵行区虹梅南路768号,54573258,200237,公建民营(民非）,樊大荣
200301,梅陇镇,上海闵行区梅陇社区爱照护长者照护之家,11,201605,闵行区上中西路762号,54321507,200237,公建民营(民非）,虞晓莹
200302,梅陇镇,上海闵行区豪锦梅陇养老公寓,267,201206,闵行区银都路1696弄7号,54403198,201108,民建民营（民非）,俞伟帼
200303,梅陇镇,上海闵行区陇西养老院,51,199701,闵行区梅陇西路960号（罗阳七村北大门）,34083566,201104,民建民营（民非）,俞顺兴
200304,莘庄镇,上海闵行区莘庄镇敬老院,550,200910,闵行区莘西路66号,64983655,201199,公建公营,陆建新
200305,莘庄镇,上海闵行区康城敬老院,151,201205,闵行区莘松路958弄大浪湾道66-67号,64930775,201199,公建民营(民非）,凌志英
200306,莘庄镇,上海南张安老院,80,198912,闵行区秀文路485弄50号 ,54136950,210199,民建民营（民非）,吴高生
200307,七宝镇,上海闵行区七宝镇华爱长者照护之家,49,201606,闵行区宜山路2271号,54435961,201108,民建民营（民非）,徐清
200308,七宝镇,上海闵行区七宝镇万科城市花园社区智汇坊长者照护之家,38,201611,闵行区中春路8888弄82号,34903366,201101,民建民营（民非）,严栋
200309,虹桥镇,上海闵行区虹桥镇敬老院,605,199310,闵行区环镇南路120号,64063939,201103,公建公营,姚红
200310,虹桥镇,上海闵行区虹桥镇龙柏敬老院,72,199810,闵行区龙柏七村104号,34313038,201103,公建公营,丁兰儒
